"","region","ubigeo","year","Cobre","Arsenico","Bismuto","Cadmio","Estaño","Magneso","Molibdeno","Oro","Plata","Plomo","Zinc","Hierro","GasNatural","LiquidoGasNatural","PetroleoCrudo","piatotalexpenditure","pimtotalexpenditure","TOTALDEV","expenditurefic2","collectrev","piacollected","pimcollected","totalrevenue","piatotalrevenue","pimtotalrevenue","canonminero","canonmineropia","canonmineropim"
"35","AYACUCHO","05","2013",10198464.6433063,0,0,0,0,0,0,713679449.287619,377770468.808951,51787727.5898824,304265342.473145,0,0,0,0,756543656,1076713649,989324367.809999,0.918837010860443,20475585.82,7273109,18222376,165963838.73,75024940,189938248,3587504.02,16200490,16200490
"36","AYACUCHO","05","2014",8686378.05960311,0,0,0,0,0,0,715512146.914909,377847763.586181,66260284.0597416,332571247.899901,0,0,0,0,825909188,1212360129,1159146002.56,0.956107020378113,20615925.69,8499684,19148424,175742381.62,54708369,173785145,1848162.39,3104656,2035340
"37","AYACUCHO","05","2015",6999264.74723732,0,0,0,0,0,0,666121656.20736,335699353.803086,60836360.2211404,344499829.517208,0,0,0,0,849620638,1345462991,1251922193.47,0.93047684431076,18733978.24,8760066,17791558,232576732.51,45290492,228581284,3188120.1,76443,67668
"38","AYACUCHO","05","2016",12721014.8151645,0,0,0,0,0,0,801954385.002091,403429410.869317,46042035.6596502,334693087.165679,0,0,0,0,826345153,1290476685,1154001373.5,0.894244253635406,19713498.27,10604296,19504889,259159577.78,35700011,257509114,2991428.82,1048074,932737
"39","AYACUCHO","05","2017",11279299.8027792,0,0,0,0,0,0,817297900.021263,548310715.883685,26155482.860369,334000285.284604,0,0,0,0,922308538,1483334233,1252638717.75,0.844475030899048,43291124.59,10445629,42067215,254741007.13,33638501,253391944,2162714.78,1074994,2162715
"40","AYACUCHO","05","2018",6721387.26049472,0,0,0,0,0,0,834694320.522168,610859607.413704,17627168.5043256,261397069.038441,0,0,0,0,1091851304,1568381112,1472471400.6,0.938847959041595,42417979.42,18508833,38789086,334273399.67,77405707,316643473,6539934.02,842225,842225
"41","CAJAMARCA","06","2009",697284834.200413,0,0,0,0,0,0,4865691441.30914,118132735.428278,0,0,0,0,0,0,676690885,994057023,838867434.880001,0.843882620334625,14210600.69,13719000,16392996,437578871.94,65712000,329943128,137564465.44,49504662,50147088
"42","CAJAMARCA","06","2010",787748391.329245,0,0,0,0,0,0,3670168792.5861,85821230.2138353,0,0,0,0,0,0,935446558,1280165913,976580859.749999,0.762854933738708,16677525.51,13876085,18309137,600453801.889999,290604103,571585978,196077657.53,127295276,139921544
"43","CAJAMARCA","06","2011",728435983.103817,0,0,0,0,0,0,3624948044.15459,81114003.7064298,0,0,0,0,0,0,918010023,1461628384,1231858537.07,0.842798709869385,20205344.63,14195034,20247179,735587643.98,240831957,712421454,227572155.04,135880350,191016161
"44","CAJAMARCA","06","2012",692685420.475043,0,0,0,0,0,0,3923208927.77729,91947985.4754387,0,0,0,0,0,0,839274184,1341600963,1223037487.62,0.911625385284424,22768710.44,14194000,22665930,571040477.77,153839416,550795068,153766318.22,108547150,163385769
"45","CAJAMARCA","06","2013",580675531.728071,0,0,0,0,0,0,3235386142.68864,70198277.6253173,0,0,0,0,0,0,912888375,1371667489,1239518876.35,0.903658449649811,20448685.37,17677472,25573596,436243400.72,173072529,417378431,169605883.55,133504979,145523405
"46","CAJAMARCA","06","2014",626168045.986217,0,0,0,0,0,0,3130048649.99452,71093651.171423,0,0,0,0,0,0,1021916978,1443264167,1329843817.09,0.921414017677307,19232268.09,18265813,23300553,342094787.02,153206000,333187705,99104160.58,119788703,95881781
"47","CAJAMARCA","06","2015",554134622.945624,0,0,0,0,0,0,3011285581.65862,70102294.8016187,0,0,0,0,0,0,1020111428,1522655270,1405926359.93,0.92333859205246,19197212.68,17103670,21767443,316506321.38,90208054,261732682,131836660.8,65710608,89131467
"48","CAJAMARCA","06","2016",582873290.032308,0,0,0,0,0,0,2568646483.79301,51823224.1527874,0,0,0,0,0,0,1117835972,1711393511,1531709546.73,0.895007193088531,21780691.11,14251772,22293115,405282214.09,96845839,329423978,87002144.41,75943173,51562072
"49","CAJAMARCA","06","2017",567664008.631312,0,0,0,0,0,0,2336845751.3367,59367092.7068004,0,0,0,0,0,0,1345192023,2081572030,1773253040.57,0.851881682872772,30930286.86,12671695,28040188,587360040.25,140925039,480347495,65134473.76,71566660,71566660
"50","CAJAMARCA","06","2018",604159788.15635,0,0,0,0,0,0,2224838091.69674,56353104.9130939,0,0,0,0,0,0,1685996469,2409978432,1960033496.45,0.813299179077148,32804426.41,16711378,31723945,492616222.17,243554174,647517520,40836311.16,60415266,60415266
"51","CUSCO","08","2009",1934902441.37181,0,0,0,0,0,0,82940222.8536388,36944996.572517,0,0,0,670483766.218891,4626199223.97478,0,808028000,1171297081,930892481.889999,0.794753551483154,34837828.83,19200000,30464227,571345344.72,291900000,613090254,33818476.72,45414832,45414832
"52","CUSCO","08","2010",1678363780.33193,0,0,0,0,0,0,167088037.16712,32821294.7813724,0,0,0,1535098487.0112,5260723402.3742,0,803674083,1153070875,990092709.579999,0.85865730047226,39781816.29,18466195,30302160,616757825.33,260326448,561358888,28970640.32,11836467,11836467
"53","CUSCO","08","2011",1718914045.00443,0,0,0,0,0,0,237788965.401298,35027501.3011961,28030.6141529775,9968.3723895602,0,2504887521.1483,5178947919.10372,0,905370651,1312610676,1130589464.73,0.861328840255737,41493917.61,20897121,35542387,804804046.98,311365220,645247859,38375574.94,24369202,43945965
"54","CUSCO","08","2012",936042944.887301,0,0,0,0,0,0,179377056.140809,20861326.4302454,127889.67707296,64794.4205321413,0,2597061327.29403,5380699026.39873,0,1021451314,1563844785,1487578114.23,0.951231300830841,45056263.72,21352921,38293944,976685487.8,408380091,830744999,71391376.6,39742805,73444837
"55","CUSCO","08","2013",2728017116.11387,0,0,0,0,0,0,263809009.621312,40732313.5272288,1168526.22750225,1740905.03517676,0,2724300162.74963,6579579773.13966,0,1313534324,2116832605,1727414887.57,0.816037535667419,48148927.39,24491482,40911981,974634240.03,634837840,1055590653,6693541.9,69218064,69218064
"56","CUSCO","08","2014",3017803638.00258,0,0,0,0,0,0,180037679.704135,44223545.7185046,1039468.60817292,1804987.42910965,0,2867358703.70023,6513570489.54723,0,1346443811,2133130270,1806125263.06,0.846701800823212,50176073.33,29706278,47652356,1053639180.92,607396643,1076281081,20155405.66,6729874,6729874
"57","CUSCO","08","2015",5583233553.98379,0,0,0,0,0,0,276737341.7208,55759409.831408,5573420.44741703,10596379.8501025,0,2743443100.81497,5740661232.29089,0,1295495380,1825817148,1667817601.26001,0.913463652133942,50178340.64,33263916,49424242,736106914.22,518151320,704881332,27413388.91,14652431,25005590
"58","CUSCO","08","2016",6402696066.78698,0,0,0,0,0,31093250.488099,254482141.463824,62376376.7064977,47301.6613831496,79746.9791164816,0,3098116338.87258,6026468281.78274,0,1360772998,1961462802,1690988860.81,0.862106025218964,59410203.82,33532443,50574532,686444328.9,519756237,816368260,9808662.86,16827553,16827553
"59","CUSCO","08","2017",5923377250.54791,0,0,0,0,0,87249312.5184889,350201523.354265,150725705.505859,70660.5065106309,82595.0855134988,0,2879622292.93926,5772879964.30452,0,1612822864,1926522608,1704048855.53,0.884520530700684,101633221.35,31254743,51753554,612999233.83,588083144,518029633,14761089.98,4303035,4303035
"60","CUSCO","08","2018",5911080269.55991,0,0,0,0,0,173692005.814927,417911886.85554,167856287.639069,7092329.35183151,13225182.0545494,0,2802517647.35391,5432635813.70698,0,1741647063,2455612096,1967804582.66,0.801349937915802,48558358.04,40411063,50532953,788249348.22,517042861,938487711,42312268.38,7095778,42312268
"61","HUANCAVELICA","09","2009",353882392.564495,0,0,0,0,0,0,85831338.8780848,210576017.699916,86849354.1262318,101787050.469799,0,0,0,0,352268946,480207619,395273862.640001,0.823131203651428,2716751.92,4805000,5484469,105440450.02,39545152,110989099,4213421.7,10527726,10527726
"62","HUANCAVELICA","09","2010",368483591.413334,0,0,0,0,0,0,96550488.953979,233276654.717277,63761471.6022293,60349238.4729967,0,0,0,0,371759009,589948580,452147625.42,0.766418695449829,4349957.63,4e+06,4873104,200151915.27,29952139,211961526,1453077.71,1243501,1243501
"63","HUANCAVELICA","09","2011",373191269.094577,0,0,0,0,0,0,84282780.4178165,266296144.49487,37260861.8051018,36578230.4568919,0,0,0,0,414303636,657463633,508855345.12,0.773967266082764,5399263.22,3e+06,4765730,169729592.74,32373796,160571338,2134051.83,991216,991216
"64","HUANCAVELICA","09","2012",372469509.388752,0,0,0,0,0,0,33130626.8747321,249001056.70091,42033073.8646462,44675396.9436118,0,0,0,0,451842665,785953139,665862002.210001,0.847203195095062,5766927.78,4531000,6403545,156434561.17,43372196,154978050,7194996.59,2650570,2650570
"65","HUANCAVELICA","09","2013",365852777.285602,0,0,0,0,0,0,14796547.1226559,252356514.513761,68707707.0579734,73500369.7612236,0,0,0,0,567299909,766565535,737110558.479999,0.961575388908386,8218283.57,2641000,7158887,134110942.65,52820133,137871563,0,3573994,3573994
"66","HUANCAVELICA","09","2014",413104580.826696,0,0,0,0,0,0,8183208.01022542,224908478.045566,99801249.778292,112087939.281211,0,0,0,0,610576555,823228871,784890287.56,0.953428983688354,9701078.33,3724873,8876941,121460804.62,49171989,117620178,880636.09,1805921,1053692
"67","HUANCAVELICA","09","2015",395758890.696458,0,0,0,0,0,0,3189462.14981876,203961720.54575,90453039.958274,101683094.586308,0,0,0,0,618932337,852331608,792949756.059999,0.930330097675323,9753667.7,3793757,9085284,144156619.44,41432112,132844049,383874.29,381407,379183
"68","HUANCAVELICA","09","2016",264707176.51056,0,0,0,0,0,0,3565946.54612253,209588602.346714,85326941.3950482,76902432.8524607,0,0,0,0,610756169,863862408,814391718.98,0.942733108997345,10257941.83,6649916,11601657,145804930.67,37760289,149648386,19103.31,285088,1638
"69","HUANCAVELICA","09","2017",238675108.320719,0,0,0,0,0,0,18220424.0852675,152116884.366435,62907705.8128198,69646169.7794601,0,0,0,0,687432948,1054375668,931588466.210002,0.883545100688934,8321542.66,4804801,8214094,170526907.24,35448569,169098533,196047.4,19103,19103
"70","HUANCAVELICA","09","2018",234748735.521031,0,0,0,0,0,0,28726469.7858955,173190008.656656,73971622.8074514,95121769.4741797,0,0,0,0,813303158,1121996956,956973526.69,0.85291987657547,8950743.02,9017286,10310719,208440797.33,58831473,225947457,559186.04,19137,19137
"71","HUANUCO","10","2009",52637935.3458126,0,0,0,0,0,0,0,51247454.3401631,74458654.7283593,132853483.021864,0,0,0,0,383105852,451836082,414206275.04,0.916718006134033,10151339.25,8700000,11311120,53945867.3,11027410,57679685,799736.68,1738930,1738930
"72","HUANUCO","10","2010",64833869.9749894,0,0,0,0,0,0,0,68590215.7220529,83270195.0815735,162130592.730002,0,0,0,0,416393377,604776560,459525117.67,0.759826242923737,11060049.74,8194813,11842982,87091208.14,8721908,175646665,426323.26,309097,424222
"73","HUANUCO","10","2011",67439422.5130175,0,0,0,0,0,0,0,61828321.1396566,69114150.9631916,146638317.983427,0,0,0,0,466540586,663657018,578103495.41,0.871087729930878,12432916,9536474,13208599,103291692.19,23149200,134337426,1097402.13,315374,1096553
"74","HUANUCO","10","2012",71358577.7156469,0,0,0,0,0,0,0,65794000.8780099,71105492.5103094,147868699.946938,0,0,0,0,499343330,870121061,763185825.200001,0.87710303068161,14020052.81,9843898,14489446,104329394.53,11011175,119006611,837600.94,873521,873521
"75","HUANUCO","10","2013",60113561.4988944,0,0,0,0,0,0,0,74692689.2362041,64433622.3707726,169962885.321799,0,0,0,0,616812721,874768854,802958787.829998,0.917909681797028,15188856.42,8133709,16049320,107779490.67,9355891,115958893,232021.37,802640,802640
"76","HUANUCO","10","2014",31605857.5180739,0,0,0,0,0,0,0,82579680.4937439,71175569.0456918,170928393.390388,0,0,0,0,666011213,891198345,863178323.930002,0.968559145927429,15183495.69,10302224,16868421,88420937.98,10784054,89357583,36367.91,201027,10788
"77","HUANUCO","10","2015",24592157.5767201,0,0,0,0,0,0,0,86729698.1054257,125421231.114113,240826620.585984,0,0,0,0,702714683,957414264,896115377.01,0.935974538326263,15095197.12,10452733,17757613,98194611.56,10745590,100694445,161190.19,22592,22592
"78","HUANUCO","10","2016",32264463.2496392,0,0,0,0,0,0,0,100352521.203544,140912817.202659,306924761.82136,0,0,0,0,687955379,1003502133,956453290.460002,0.953115344047546,19395158.34,10327043,19537683,120995637.88,10626211,121898009,4551.94,18907,10138
"79","HUANUCO","10","2017",39326881.9711362,0,0,0,0,0,0,0,104777265.81127,124894489.156489,385128779.297258,0,0,0,0,793355779,1208407874,1030401237.55,0.852693259716034,19819837.22,10697535,22432822,78352429.78,11019688,78064091,726226.69,0,0
"80","HUANUCO","10","2018",34808666.2126721,0,0,0,0,0,0,0,91848443.0238412,117135848.747396,337783282.606442,0,0,0,0,933374262,1369746159,1189216067.3,0.868201792240143,16476660.08,17607351,20469980,250589745.68,23701835,271727705,2484465.24,0,0
"81","ICA","11","2009",296018916.94851,0,0,0,0,0,0,85241.7501065148,71615899.4359981,49197231.6652447,579437990.127359,877070240.914722,0,0,0,418586402,540268668,452368016.82,0.837301969528198,17371254.51,14562000,19897206,107405870.01,46194402,116718890,28799810.75,17163035,28415900
